模版名称,药材
葛根汤,葛根 12.0g|麻黄 9.0g|桂枝 6.0g|生姜 9.0g|甘草 6.0g|白芍 6.0g|大枣 12.0g
桂枝汤,桂枝 9.0g|白芍 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g
桂枝加葛根汤,葛根 12.0g|白芍 6.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g|桂枝 6.0g
桂枝加附子汤,桂枝 9.0g|白芍 9.0g|甘草 9.0g|生姜 9.0g|大枣 12.0g|附子 9.0g
桂枝去芍药汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g
桂枝去芍药加附子汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g|附子 9.0g
桂枝麻黄各半汤,桂枝 5.0g|白芍 3.0g|生姜 3.0g|甘草 3.0g|麻黄 3.0g|大枣 4.0g|杏仁 9.6g
桂枝二麻黄一汤,桂枝 5.1g|白芍 3.8g|麻黄 2.0g|生姜 3.8g|杏仁 6.4g|甘草 3.2g|大枣 5.0g
白虎加人参汤,知母 18.0g|石膏 48.0g|甘草 6.0g|粳米 30.0g|人参 9.0g
桂枝二越婢一汤,桂枝 2.2g|白芍 2.2g|麻黄 2.2g|甘草 2.2g|大枣 4.0g|生姜 3.2g|石膏 3.0g
桂枝去桂加茯苓白术汤,白芍 9.0g|甘草 6.0g|生姜 9.0g|白术 9.0g|茯苓 9.0g|大枣 12.0g
甘草干姜汤,甘草 12.0g|干姜 6.0g
芍药甘草汤,白芍 12.0g|甘草 12.0g
调胃承气汤,大黄 12.0g|甘草 6.0g|芒硝 15.0g
四逆汤,甘草 6.0g|干姜 3.0g|附子 9.0g
葛根加半夏汤,葛根 12.0g|麻黄 9.0g|甘草 6.0g|白芍 6.0g|桂枝 6.0g|生姜 6.0g|半夏 24.0g|大枣 12.0g
葛根黄芩黄连汤,葛根 24.0g|甘草 6.0g|黄芩 9.0g|黄连 9.0g
麻黄汤,麻黄 9.0g|桂枝 6.0g|甘草 3.0g|杏仁 28.0g
小柴胡汤,柴胡 24.0g|黄芩 9.0g|人参 9.0g|甘草 9.0g|生姜 9.0g|大枣 12.0g|半夏 10.0g
大青龙汤,麻黄 18.0g|桂枝 6.0g|甘草 6.0g|杏仁 16.0g|生姜 9.0g|大枣 10.0g|石膏 30.0g
小青龙汤,麻黄 9.0g|白芍 9.0g|细辛 9.0g|干姜 9.0g|甘草 9.0g|桂枝 9.0g|五味子 10.0g|半夏 10.0g
桂枝加厚朴杏仁汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|白芍 9.0g|大枣 12.0g|厚朴 6.0g|杏仁 20.0g
干姜附子汤,干姜 3.0g|附子 9.0g
桂枝加芍药生姜各一两人参三两新加汤,桂枝 9.0g|白芍 12.0g|甘草 6.0g|人参 9.0g|大枣 12.0g|生姜 12.0g
麻黄杏仁甘草石膏汤,麻黄 12.0g|杏仁 20.0g|甘草 6.0g|石膏 24.0g
桂枝甘草汤,桂枝 12.0g|甘草 6.0g
茯苓桂枝甘草大枣汤,茯苓 24.0g|桂枝 12.0g|甘草 6.0g|大枣 15.0g
厚朴生姜甘草半夏人参汤,厚朴 24.0g|生姜 24.0g|半夏 24.0g|甘草 6.0g|人参 3.0g
茯苓桂枝白术甘草汤,茯苓 12.0g|桂枝 9.0g|白术 3.0g|甘草 6.0g
芍药甘草附子汤,白芍 9.0g|甘草 9.0g|附子 9.0g
茯苓四逆汤,茯苓 12.0g|人参 3.0g|附子 9.0g|甘草 6.0g|干姜 3.0g
五苓散,猪苓 2.2g|泽泻 3.8g|白术 2.2g|茯苓 2.2g|桂枝 1.5g
茯苓甘草汤,茯苓 6.0g|桂枝 6.0g|甘草 3.0g|生姜 9.0g
栀子豉汤,栀子 42.0g|淡豆豉 12.0g
栀子甘草豉汤,栀子 42.0g|甘草 6.0g|淡豆豉 12.0g
栀子生姜豉汤,栀子 42.0g|生姜 15.0g|淡豆豉 12.0g
栀子厚朴汤,栀子 42.0g|厚朴 12.0g|枳实 20.0g
栀子干姜汤,栀子 42.0g|干姜 6.0g
真武汤,茯苓 9.0g|白芍 9.0g|生姜 9.0g|白术 6.0g|附子 9.0g
小建中汤,桂枝 9.0g|甘草 6.0g|大枣 12.0g|白芍 18.0g|生姜 9.0g|饴糖 25.0g
大柴胡汤,柴胡 24.0g|黄芩 9.0g|白芍 9.0g|半夏 10.0g|生姜 15.0g|枳实 20.0g|大枣 12.0g
柴胡加芒硝汤,柴胡 8.0g|黄芩 3.0g|人参 3.0g|甘草 3.0g|生姜 3.0g|半夏 2.5g|大枣 4.0g|芒硝 6.0g
桃核承气汤,桃仁 25.0g|大黄 12.0g|桂枝 6.0g|甘草 6.0g|芒硝 6.0g
柴胡加龙骨牡蛎汤,柴胡 12.0g|龙骨 3.0g|黄芩 3.0g|生姜 3.0g|铅丹 3.0g|人参 3.0g|桂枝 3.0g|茯苓 3.0g|半夏 4.0g|大黄 6.0g|牡蛎 3.0g|大枣 6.0g
桂枝去芍药加蜀漆牡蛎龙骨救逆汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g|牡蛎 15.0g|常山 9.0g|龙骨 12.0g
桂枝加桂汤,桂枝 15.0g|白芍 9.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g
桂枝甘草龙骨牡蛎汤,桂枝 3.0g|甘草 6.0g|牡蛎 6.0g|龙骨 6.0g
抵当汤,水蛭 60.0g|虻虫 9.0g|桃仁 10.0g|大黄 9.0g
抵当丸,水蛭 40.0g|虻虫 6.0g|桃仁 12.5g|大黄 9.0g
大陷胸丸,大黄 24.0g|葶苈子 15.0g|芒硝 15.0g|杏仁 15.0g
大陷胸汤,大黄 18.0g|芒硝 30.0g|甘遂 3.0g
小陷胸汤,黄连 3.0g|半夏 10.0g|瓜蒌 30.0g
文蛤散,海蛤壳 15.0g
白散,桔梗 9.0g|巴豆 3.0g|川贝母 9.0g
柴胡桂枝汤,桂枝 3.0g|黄芩 3.0g|人参 3.0g|甘草 3.0g|半夏 4.0g|白芍 3.0g|大枣 6.0g|生姜 3.0g|柴胡 12.0g
柴胡桂枝干姜汤,柴胡 24.0g|桂枝 9.0g|干姜 6.0g|天花粉 12.0g|黄芩 9.0g|牡蛎 6.0g|甘草 6.0g
半夏泻心汤,半夏 10.0g|黄芩 9.0g|干姜 9.0g|人参 9.0g|甘草 9.0g|黄连 3.0g|大枣 12.0g
十枣汤,芫花 3.0g|甘遂 3.0g|大戟 3.0g
大黄黄连泻心汤,大黄 6.0g|黄连 3.0g
附子泻心汤,大黄 6.0g|黄连 3.0g|黄芩 3.0g|附子 9.0g
生姜泻心汤,生姜 12.0g|甘草 9.0g|人参 9.0g|干姜 3.0g|黄芩 9.0g|半夏 10.0g|黄连 3.0g|大枣 12.0g
甘草泻心汤,甘草 12.0g|黄芩 9.0g|干姜 9.0g|半夏 10.0g|大枣 12.0g|黄连 3.0g
赤石脂禹余粮汤,赤石脂 48.0g|禹余粮 48.0g
旋覆代赭汤,旋覆花 9.0g|人参 6.0g|生姜 15.0g|代赭石 3.0g|甘草 9.0g|半夏 10.0g|大枣 12.0g
桂枝人参汤,桂枝 12.0g|甘草 12.0g|白术 9.0g|人参 9.0g|干姜 9.0g
瓜蒂散,瓜蒂 3.0g|赤小豆 3.0g
黄芩汤,黄芩 9.0g|白芍 6.0g|甘草 6.0g|大枣 12.0g
黄芩加半夏生姜汤,黄芩 9.0g|白芍 6.0g|甘草 6.0g|大枣 12.0g|半夏 10.0g|生姜 3.0g
黄连汤,黄连 9.0g|甘草 9.0g|干姜 9.0g|桂枝 9.0g|人参 6.0g|半夏 10.0g|大枣 12.0g
桂枝附子汤,桂枝 12.0g|附子 27.0g|生姜 9.0g|大枣 12.0g|甘草 6.0g
去桂加白术汤,附子 27.0g|白术 12.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g
甘草附子汤,甘草 6.0g|附子 18.0g|白术 6.0g|桂枝 12.0g
白虎汤,知母 18.0g|石膏 48.0g|甘草 6.0g|粳米 30.0g
炙甘草汤,甘草 12.0g|生姜 9.0g|人参 6.0g|生地黄 48.0g|桂枝 9.0g|阿胶 6.0g|麦冬 15.0g|麻仁 12.5g|大枣 30.0g
大承气汤,大黄 12.0g|厚朴 24.0g|枳实 25.0g|芒硝 9.0g
小承气汤,大黄 12.0g|厚朴 6.0g|枳实 15.0g
猪苓汤,猪苓 3.0g|茯苓 3.0g|泽泻 3.0g|阿胶 3.0g|滑石 3.0g
蜜煎方针,蜂蜜 17.5g
茵陈蒿汤,茵陈 18.0g|栀子 42.0g|大黄 6.0g
吴茱萸汤,吴茱萸 30.0g|人参 9.0g|生姜 18.0g|大枣 12.0g
麻子仁丸,麻子仁 60.0g|白芍 24.0g|枳实 24.0g|大黄 48.0g|厚朴 48.0g|杏仁 48.0g
栀子柏皮汤,栀子 45.0g|甘草 3.0g|黄柏 6.0g
麻黄连轺赤小豆汤,麻黄 6.0g|连翘 6.0g|杏仁 16.0g|赤小豆 40.0g|大枣 12.0g|梓白皮 25.0g|生姜 6.0g|甘草 6.0g
桂枝加芍药汤,桂枝 9.0g|白芍 18.0g|甘草 6.0g|大枣 12.0g|生姜 9.0g
桂枝加大黄汤,桂枝 9.0g|大黄 6.0g|白芍 18.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g
麻黄细辛附子汤,麻黄 6.0g|细辛 6.0g|附子 9.0g
麻黄附子甘草汤,麻黄 6.0g|甘草 6.0g|附子 9.0g
黄连阿胶汤,黄连 12.0g|黄芩 3.0g|白芍 6.0g|鸡子黄 100.0g|阿胶 9.0g
附子汤,附子 18.0g|茯苓 9.0g|人参 6.0g|白术 12.0g|白芍 9.0g
桃花汤,赤石脂 48.0g|干姜 3.0g|粳米 50.0g
猪肤汤,猪皮 48.0g
甘草汤,甘草 6.0g
桔梗汤,桔梗 3.0g|甘草 6.0g
苦酒汤,半夏 14.0g|鸡蛋 1.0g
半夏散及汤,半夏 3.0g|桂枝 3.0g|甘草 3.0g
白通汤,葱白 3.0g|干姜 3.0g|附子 9.0g
白通加猪胆汁汤,葱白 3.0g|干姜 3.0g|附子 9.0g|童便 12.5g|猪胆汁 2.5g
通脉四逆汤,甘草 6.0g|附子 9.0g|干姜 9.0g
四逆散,甘草 3.0g|枳实 3.0g|柴胡 3.0g|白芍 3.0g
乌梅丸,乌梅 900.0g|细辛 18.0g|干姜 30.0g|黄连 48.0g|当归 12.0g|附子 18.0g|花椒 12.0g|桂枝 18.0g|人参 18.0g|黄柏 18.0g
当归四逆汤,当归 9.0g|桂枝 9.0g|白芍 9.0g|细辛 9.0g|甘草 6.0g|木通 6.0g|大枣 25.0g
当归四逆加吴茱萸生姜汤,当归 9.0g|白芍 9.0g|甘草 6.0g|木通 6.0g|桂枝 9.0g|细辛 9.0g|生姜 24.0g|吴茱萸 60.0g|大枣 25.0g
麻黄升麻汤,麻黄 6.0g|升麻 3.0g|当归 3.0g|知母 2.2g|黄芩 2.2g|玉竹 2.2g|白芍 0.8g|天冬 0.8g|桂枝 0.8g|茯苓 0.8g|甘草 0.8g|石膏 0.8g|白术 0.8g|干姜 0.8g
干姜黄芩黄连人参汤,干姜 9.0g|黄芩 9.0g|黄连 9.0g|人参 9.0g
白头翁汤,白头翁 6.0g|黄柏 9.0g|黄连 9.0g|秦皮 9.0g
四逆加人参汤,甘草 6.0g|附子 9.0g|干姜 3.0g|人参 3.0g
理中丸（汤）,人参 9.0g|干姜 9.0g|甘草 9.0g|白术 9.0g
通脉四逆加猪胆汁汤,甘草 6.0g|干姜 9.0g|附子 9.0g|猪胆汁 1.2g
枳实栀子豉汤,枳实 15.0g|栀子 42.0g|淡豆豉 30.0g
牡蛎泽泻散,牡蛎 10.0g|泽泻 10.0g|常山 10.0g|葶苈子 10.0g|商陆 10.0g|海藻 10.0g|天花粉 10.0g
竹叶石膏汤,竹叶 3.0g|石膏 48.0g|半夏 10.0g|麦冬 30.0g|人参 6.0g|甘草 6.0g|粳米 25.0g
瓜蒌桂枝汤,天花粉 6.0g|桂枝 9.0g|白芍 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g
麻黄加术汤,麻黄 9.0g|桂枝 6.0g|甘草 6.0g|杏仁 28.0g|白术 12.0g
麻黄杏仁薏苡甘草汤,麻黄 1.5g|甘草 3.0g|薏苡仁 1.5g|杏仁 4.0g
防己黄芪汤,防己 3.0g|甘草 1.5g|白术 21.0g|黄芪 3.0g
白术附子汤,白术 6.0g|附子 9.0g|甘草 3.0g|生姜 3.0g|大枣 6.0g
一物瓜蒂汤,瓜蒂 60.0g
百合知母汤,百合 70.0g|知母 9.0g
滑石代赭汤,百合 70.0g|滑石 9.0g|代赭石 1.0g
百合鸡子汤,百合 70.0g|鸡子黄 50.0g
百合地黄汤,百合 70.0g|生地黄 40.0g
百合洗方,百合 25.0g
瓜蒌牡蛎散,天花粉 10.0g|牡蛎 10.0g
百合滑石散,百合 3.0g|滑石 9.0g
赤小豆当归散,赤小豆 120.0g|当归 3.0g
升麻鳖甲汤,升麻 6.0g|当归 3.0g|花椒 3.0g|甘草 6.0g|雄黄 1.5g|鳖甲 3.0g
鳖甲煎丸,鳖甲 36.0g|射干 9.0g|黄芩 9.0g|柴胡 18.0g|鼠妇 9.0g|干姜 9.0g|大黄 9.0g|白芍 15.0g|桂枝 9.0g|葶苈子 3.0g|石韦 9.0g|厚朴 9.0g|牡丹皮 15.0g|瞿麦 6.0g|凌霄花 9.0g|半夏 3.0g|人参 3.0g|土鳖虫 15.0g|阿胶 9.0g|露蜂房 12.0g|赤石脂 36.0g|蜣螂 18.0g|桃仁 6.0g
白虎加桂枝汤,知母 18.0g|甘草 6.0g|石膏 48.0g|粳米 10.0g|桂枝 9.0g
蜀漆散,常山 10.0g|云母石 10.0g|龙骨 10.0g
侯氏黑散,菊花 120.0g|白术 30.0g|细辛 9.0g|茯苓 9.0g|牡蛎 9.0g|桔梗 24.0g|防风 30.0g|人参 9.0g|矾石 9.0g|黄芩 15.0g|当归 9.0g|干姜 9.0g|川芎 9.0g|桂枝 9.0g
风引汤,大黄 12.0g|干姜 12.0g|龙骨 12.0g|桂枝 9.0g|甘草 6.0g|牡蛎 6.0g|寒水石 18.0g|滑石 18.0g|赤石脂 18.0g|白石脂 18.0g|紫石英 18.0g|石膏 18.0g
防己地黄汤,防己 3.0g|桂枝 9.0g|防风 9.0g|甘草 6.0g|生地黄 96.0g
头风摩散方,附子 10.0g|食盐 10.0g
桂枝芍药知母汤,桂枝 12.0g|白芍 9.0g|甘草 6.0g|麻黄 6.0g|生姜 15.0g|白术 15.0g|知母 12.0g|防风 12.0g|附子 18.0g
乌头汤,麻黄 9.0g|白芍 9.0g|黄芪 9.0g|甘草 3.0g|川乌 5.0g
矾石汤,矾石 6.0g
黄芪桂枝五物汤,黄芪 9.0g|白芍 9.0g|桂枝 9.0g|生姜 18.0g|大枣 12.0g
桂枝加龙骨牡蛎汤,桂枝 9.0g|白芍 9.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g|龙骨 9.0g|牡蛎 9.0g
天雄散方,川乌 9.0g|白术 24.0g|桂枝 18.0g|龙骨 9.0g
肾气丸,生地黄 24.0g|山茱萸 12.0g|山药 12.0g|泽泻 9.0g|茯苓 9.0g|牡丹皮 9.0g|桂枝 3.0g|附子 3.0g
薯蓣丸,山药 90.0g|当归 30.0g|桂枝 30.0g|生地黄 30.0g|神曲 30.0g|豆黄卷 30.0g|甘草 84.0g|川芎 18.0g|麦冬 18.0g|白芍 18.0g|白术 18.0g|杏仁 18.0g|人参 21.0g|柴胡 15.0g|桔梗 15.0g|茯苓 15.0g|阿胶 21.0g|干姜 9.0g|白蔹 6.0g|防风 18.0g|大枣 100.0g
酸枣汤,酸枣仁 60.0g|甘草 3.0g|知母 6.0g|茯苓 6.0g|川芎 6.0g
大黄䗪虫丸,大黄 30.0g|黄芩 6.0g|甘草 9.0g|桃仁 25.0g|杏仁 30.0g|白芍 12.0g|生地黄 30.0g|干漆 3.0g|虻虫 20.0g|水蛭 200.0g|蛴螬 25.0g|土鳖虫 10.0g
射干麻黄汤,射干 39.0g|麻黄 12.0g|生姜 12.0g|细辛 9.0g|紫菀 9.0g|款冬花 9.0g|五味子 10.0g|大枣 7.0g|半夏 8.0g
皂荚丸,皂荚 24.0g
厚朴麻黄汤,厚朴 15.0g|麻黄 12.0g|石膏 30.0g|杏仁 15.0g|半夏 10.0g|干姜 6.0g|细辛 6.0g|小麦 40.0g|五味子 10.0g
泽漆汤,半夏 10.0g|紫参 15.0g|泽漆 144.0g|生姜 15.0g|白前 15.0g|甘草 9.0g|黄芩 9.0g|人参 9.0g|桂枝 9.0g
麦门冬汤,麦冬 210.0g|半夏 20.0g|人参 9.0g|甘草 6.0g|粳米 15.0g|大枣 12.0g
葶苈大枣泻肺汤,葶苈子 3.0g|大枣 12.0g
越婢加半夏汤,麻黄 18.0g|石膏 24.0g|生姜 9.0g|大枣 15.0g|甘草 6.0g|半夏 10.0g
小青龙加石膏汤,麻黄 9.0g|白芍 9.0g|桂枝 9.0g|细辛 9.0g|甘草 9.0g|干姜 9.0g|五味子 10.0g|半夏 10.0g|石膏 6.0g
奔豚汤,甘草 6.0g|川芎 6.0g|当归 6.0g|半夏 12.0g|黄芩 6.0g|葛根 15.0g|白芍 6.0g|生姜 12.0g|甘李根白皮 25.0g
瓜蒌薤白白酒汤,瓜蒌 30.0g|薤白 12.5g|白酒 175.0g
瓜蒌薤白半夏汤,瓜蒌 30.0g|薤白 9.0g|半夏 24.0g|白酒 3.0g
枳实薤白桂枝汤,枳实 20.0g|厚朴 12.0g|薤白 24.0g|桂枝 3.0g|瓜蒌 30.0g
人参汤,人参 9.0g|甘草 9.0g|干姜 9.0g|白术 9.0g
茯苓杏仁甘草汤,茯苓 9.0g|杏仁 20.0g|甘草 3.0g
橘枳姜汤,陈皮 48.0g|枳实 9.0g|生姜 24.0g
薏苡附子散,薏苡仁 45.0g|附子 90.0g
桂枝生姜枳实汤,桂枝 9.0g|生姜 9.0g|枳实 25.0g
乌头赤石脂丸,花椒 3.0g|川乌 3.0g|附子 1.5g|干姜 3.0g|赤石脂 3.0g
厚朴七物汤,厚朴 24.0g|甘草 9.0g|大黄 9.0g|大枣 10.0g|枳实 25.0g|桂枝 6.0g|生姜 15.0g
附子粳米汤,附子 9.0g|半夏 10.0g|甘草 3.0g|大枣 10.0g|粳米 25.0g
厚朴三物汤,厚朴 24.0g|大黄 12.0g|枳实 25.0g
大建中汤,花椒 4.0g|干姜 12.0g|人参 6.0g|饴糖 25.0g
大黄附子汤,大黄 9.0g|附子 27.0g|细辛 6.0g
赤丸,茯苓 12.0g|川乌 6.0g|半夏 12.0g|细辛 3.0g
大乌头煎,川乌 5.0g
当归生姜羊肉汤,当归 9.0g|生姜 15.0g|羊肉 48.0g
乌头桂枝汤,川乌 3.0g|桂枝 9.0g
旋覆花汤,旋覆花 9.0g|葱 3.0g|茜草 3.0g
甘姜苓术汤证（肾着汤）,甘草 6.0g|白术 6.0g|干姜 12.0g|茯苓 12.0g
苓桂术甘汤,茯苓 12.0g|桂枝 9.0g|白术 9.0g|甘草 6.0g
甘遂半夏汤,甘遂 3.0g|半夏 12.0g|白芍 5.0g|甘草 1.0g
木防己汤,木防己 9.0g|石膏 360.0g|桂枝 6.0g|人参 12.0g
木防己去石膏加茯苓芒硝汤,木防己 6.0g|桂枝 6.0g|人参 12.0g|芒硝 9.0g|茯苓 12.0g
泽泻汤,泽泻 15.0g|白术 6.0g
厚朴大黄汤,厚朴 10.0g|大黄 18.0g|枳实 20.0g
小半夏汤,半夏 20.0g|生姜 24.0g
己椒苈黄丸,防己 3.0g|椒目 3.0g|葶苈子 3.0g|大黄 3.0g
小半夏加茯苓汤,半夏 20.0g|生姜 24.0g|茯苓 9.0g
桂苓五味甘草汤,茯苓 12.0g|桂枝 12.0g|甘草 9.0g|五味子 10.0g
苓甘五味姜辛汤,茯苓 12.0g|甘草 9.0g|干姜 9.0g|细辛 9.0g|五味子 10.0g
桂苓五味甘草去桂加姜辛半夏汤,茯苓 12.0g|甘草 6.0g|细辛 6.0g|干姜 6.0g|五味子 10.0g|半夏 10.0g
苓甘五味加姜辛半夏杏仁汤,茯苓 12.0g|甘草 9.0g|五味子 10.0g|干姜 9.0g|细辛 9.0g|半夏 10.0g|杏仁 15.0g
苓甘五味加姜辛半杏大黄汤,茯苓 12.0g|甘草 9.0g|五味子 10.0g|干姜 9.0g|细辛 9.0g|半夏 10.0g|杏仁 15.0g|大黄 9.0g
瓜蒌瞿麦丸,天花粉 6.0g|茯苓 9.0g|山药 9.0g|附子 9.0g|瞿麦 3.0g
蒲灰散,蒲黄 21.0g|滑石 9.0g
滑石白鱼散,滑石 6.0g|血余炭 6.0g|鲞鱼 6.0g
茯苓戎盐汤,茯苓 24.0g|白术 6.0g|食盐 1.0g
越婢汤,麻黄 18.0g|石膏 24.0g|生姜 9.0g|大枣 15.0g|甘草 6.0g
防己茯苓汤,防己 9.0g|黄芪 9.0g|桂枝 9.0g|茯苓 18.0g|甘草 6.0g
甘草麻黄汤,甘草 6.0g|麻黄 12.0g
麻黄附子汤,麻黄 9.0g|甘草 6.0g|附子 9.0g
黄芪芍桂苦酒汤,黄芪 15.0g|白芍 9.0g|桂枝 9.0g|醋 25.0g
桂枝加黄芪汤,桂枝 9.0g|白芍 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g|黄芪 6.0g
桂甘姜枣麻辛附子汤,桂枝 9.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g|麻黄 6.0g|细辛 6.0g|附子 9.0g
枳术汤,枳实 35.0g|白术 6.0g
硝石矾石散,芒硝 10.0g|矾石 10.0g
栀子大黄汤,栀子 42.0g|大黄 3.0g|枳实 25.0g|淡豆豉 30.0g
猪膏发煎,猪油 24.0g|血余炭 30.0g
茵陈五苓散,茵陈 30.0g|五苓散 15.0g
大黄硝石汤,大黄 12.0g|黄柏 12.0g|芒硝 12.0g|栀子 45.0g
半夏麻黄丸,半夏 10.0g|麻黄 10.0g
柏叶汤,侧柏叶 9.0g|干姜 9.0g|艾 3.0g
黄土汤,甘草 9.0g|生地黄 9.0g|白术 9.0g|附子 9.0g|阿胶 9.0g|黄芩 9.0g|灶心土 24.0g
赤小豆当归散,赤小豆 120.0g|当归 3.0g
泻心汤,大黄 6.0g|黄连 3.0g|黄芩 3.0g
猪苓散,猪苓 10.0g|茯苓 10.0g|白术 10.0g
大半夏汤,半夏 40.0g|人参 9.0g|蜂蜜 25.0g
大黄甘草汤,大黄 12.0g|甘草 3.0g
茯苓泽泻汤,茯苓 12.5g|泽泻 12.0g|甘草 6.0g|桂枝 6.0g|白术 9.0g|生姜 12.0g
文蛤汤,海蛤壳 15.0g|麻黄 9.0g|甘草 9.0g|生姜 9.0g|石膏 15.0g|杏仁 20.0g|大枣 12.0g
半夏干姜散,半夏 10.0g|干姜 10.0g
生姜半夏汤,半夏 24.0g|生姜 25.0g
橘皮汤,陈皮 12.0g|生姜 24.0g
橘皮竹茹汤,陈皮 50.0g|竹茹 50.0g|大枣 30.0g|生姜 24.0g|甘草 15.0g|人参 3.0g
紫参汤,紫参 24.0g|甘草 9.0g
诃黎勒散,诃子 30.0g
薏苡附子败酱散,薏苡仁 30.0g|附子 6.0g|败酱 15.0g
大黄牡丹汤,大黄 12.0g|牡丹皮 3.0g|桃仁 25.0g|冬瓜子 12.5g|芒硝 9.0g
王不留行散方,王不留行 30.0g|蒴藋 30.0g|桑白皮 30.0g|甘草 54.0g|花椒 9.0g|黄芩 6.0g|干姜 6.0g|白芍 6.0g|厚朴 6.0g
排脓散方,枳实 80.0g|白芍 18.0g|桔梗 6.0g
排脓汤方,甘草 6.0g|桔梗 9.0g|生姜 3.0g|大枣 10.0g
蜘蛛散,蜘蛛 7.0g|桂枝 1.5g
甘草粉蜜汤,甘草 6.0g|铅丹 3.0g|蜂蜜 12.0g
桂枝茯苓丸,桂枝 10.0g|茯苓 10.0g|牡丹皮 10.0g|桃仁 10.0g|白芍 10.0g
胶艾汤,川芎 6.0g|阿胶 6.0g|甘草 6.0g|艾叶 9.0g|当归 9.0g|白芍 12.0g|生地黄 12.0g
当归芍药散,当归 9.0g|白芍 48.0g|茯苓 12.0g|白术 12.0g|泽泻 24.0g|川芎 24.0g
干姜人参半夏丸,干姜 3.0g|人参 3.0g|半夏 6.0g
当归贝母苦参丸,当归 12.0g|川贝母 12.0g|苦参 12.0g
葵子茯苓散,冬葵子 48.0g|茯苓 9.0g
当归散方,当归 48.0g|黄芩 48.0g|白芍 48.0g|川芎 48.0g|白术 24.0g
白术散方,白术 3.0g|川芎 3.0g|花椒 9.0g|牡蛎 3.0g
枳实芍药散,枳实 10.0g|白芍 10.0g
下瘀血汤,大黄 6.0g|桃仁 10.0g|土鳖虫 20.0g
阳旦汤（桂枝汤）,桂枝 9.0g|白芍 9.0g|甘草 9.0g|生姜 9.0g|大枣 12.0g
竹叶汤,竹叶 9.0g|葛根 9.0g|防风 3.0g|桔梗 3.0g|桂枝 3.0g|人参 3.0g|甘草 3.0g|附子 9.0g|大枣 15.0g|生姜 15.0g
竹皮大丸,竹茹 6.0g|石膏 6.0g|桂枝 3.0g|甘草 21.0g|白薇 3.0g
白头翁加甘草阿胶汤,白头翁 6.0g|甘草 6.0g|阿胶 6.0g|秦皮 9.0g|黄连 9.0g|黄柏 9.0g
半夏厚朴汤,半夏 20.0g|厚朴 9.0g|茯苓 12.0g|生姜 15.0g|紫苏叶 6.0g
甘麦大枣汤,甘草 9.0g|小麦 40.0g|大枣 10.0g
温经汤,吴茱萸 9.0g|当归 6.0g|川芎 6.0g|白芍 6.0g|人参 6.0g|桂枝 6.0g|阿胶 6.0g|生姜 6.0g|牡丹皮 6.0g|甘草 6.0g|半夏 10.0g|麦冬 30.0g
土瓜根散,土瓜根 9.0g|白芍 9.0g|桂枝 9.0g|土鳖虫 9.0g
大黄甘遂汤,大黄 12.0g|甘遂 6.0g|阿胶 6.0g
矾石丸方,矾石 9.0g|杏仁 3.0g
红蓝花酒方,红花 3.0g
狼牙汤方,仙鹤草 9.0g
膏发煎方,猪油 24.0g|血余炭 30.0g
